Transaction Date,Post Date,Description,Category,Type,Amount,Memo
10/15/2025,10/16/2025,ST. PAULS SCHOOL,Gifts & Donations,Sale,-20.00,
10/13/2025,10/15/2025,CALIFORNIA WINE MERCHANT,Entertainment,Sale,-283.00,
10/13/2025,10/14/2025,SYR UNIV ONLINE GIFTS,Education,Sale,-25.00,
10/12/2025,10/13/2025,BUCKINGHAM BROWNE &amp;,Gifts & Donations,Sale,-25.00,
10/09/2025,10/12/2025,SILVERSCRIPT INS CO,Health & Wellness,Sale,-56.50,
10/08/2025,10/08/2025,Microsoft*Microsoft Copil,Shopping,Sale,-20.00,
10/05/2025,10/06/2025,Marina Cleaners  Inc.,Personal,Sale,-36.00,
10/03/2025,10/03/2025,AUTOMATIC PAYMENT - THANK,,Payment,3074.26,
10/03/2025,10/03/2025,PUBLIC STORAGE 08482,Home,Sale,-1201.00,
10/03/2025,10/03/2025,PUBLIC STORAGE 08482,Home,Sale,-671.00,
10/01/2025,10/02/2025,SHOEBOXED.COM,Shopping,Sale,-69.00,
10/01/2025,10/02/2025,PAYPAL *WIKIPEDIA,Gifts & Donations,Sale,-5.00,
09/30/2025,10/01/2025,BLUE SHIELD CALIFORNIA,Bills & Utilities,Sale,-345.00,
09/30/2025,10/01/2025,PAYPAL *INTERNETARC,Gifts & Donations,Sale,-50.00,
09/29/2025,09/30/2025,SF CHRONICLE SUBSCRIPT,Bills & Utilities,Sale,-19.96,
09/28/2025,09/29/2025,GOOGLE *GitHub,Shopping,Sale,-38.99,
09/28/2025,09/29/2025,GOOGLE *Google One,Entertainment,Sale,-19.99,
09/28/2025,09/29/2025,Marina Cleaners  Inc.,Personal,Sale,-44.00,
09/26/2025,09/28/2025,NETFLIX.COM,Bills & Utilities,Sale,-7.99,
09/24/2025,09/24/2025,Spotify P3AD6CB276,Bills & Utilities,Sale,-19.99,
09/22/2025,09/23/2025,GITHUB,Professional Services,Sale,-5.00,
09/22/2025,09/23/2025,GITHUB  INC.,Professional Services,Sale,-43.00,
09/21/2025,09/22/2025,Marina Cleaners  Inc.,Personal,Sale,-32.00,
09/20/2025,09/21/2025,FLICKR PRO MONTHLY,Personal,Sale,-10.44,
09/20/2025,09/21/2025,NYTIMES*,Bills & Utilities,Sale,-33.00,
09/17/2025,09/18/2025,GOOGLE *FI vvT8RS,Bills & Utilities,Sale,-129.27,
09/16/2025,09/17/2025,OPENAI *CHATGPT SUBSCR,Shopping,Sale,-20.00,
09/16/2025,09/17/2025,Marina Cleaners  Inc.,Personal,Sale,-40.00,
09/15/2025,09/16/2025,ST. PAULS SCHOOL,Gifts & Donations,Sale,-20.00,
09/13/2025,09/14/2025,SYR UNIV ONLINE GIFTS,Education,Sale,-25.00,
09/12/2025,09/14/2025,BUCKINGHAM BROWNE &amp;,Gifts & Donations,Sale,-25.00,
09/09/2025,09/11/2025,SILVERSCRIPT INS CO,Health & Wellness,Sale,-56.50,
09/08/2025,09/08/2025,Microsoft*Microsoft Copil,Shopping,Sale,-20.00,
09/07/2025,09/08/2025,Marina Cleaners  Inc.,Personal,Sale,-36.00,
09/04/2025,09/04/2025,AUTOMATIC PAYMENT - THANK,,Payment,4179.38,
09/01/2025,09/03/2025,Marina Cleaners  Inc.,Personal,Sale,-36.00,
09/03/2025,09/03/2025,PUBLIC STORAGE 08482,Home,Sale,-671.00,
09/03/2025,09/03/2025,PUBLIC STORAGE 08482,Home,Sale,-1201.00,
09/01/2025,09/02/2025,SHOEBOXED.COM,Shopping,Sale,-69.00,
09/01/2025,09/02/2025,SF CHRONICLE SUBSCRIPT,Bills & Utilities,Sale,-19.96,
09/01/2025,09/02/2025,PAYPAL *WIKIPEDIA,Gifts & Donations,Sale,-5.00,
